id_str,created_at,full_text
1200485829111513088,2019-11-29 18:45:00,"These Dem Sens. r running against #Trump in #2020Elections: 

- @ewarren 
- @KamalaHarris 
- @MichaelBennet 
- @amyklobuchar 
- @CoryBooker 
- @BernieSanders 

Should these Sens. recuse themselves from sitting as a juror at Senate #Impeachment Trial?


"
1200121584142487552,2019-11-28 18:37:37,".@ewarren’s granddaughter, Lavinia, gives great pep talks.

We hope your Thanksgiving is filled with friends, family, chosen family, and loved ones who inspire you to keep fighting. 
"
1200406059933949952,2019-11-29 13:28:01,"Democrats doing the “attack the leftist policies” thing should be aware that they are providing bipartisan legitimacy to these talking points. Long history of this. @realDonaldTrump will use the attacks against whoever the nominee is, from @JoeBiden or @PeteButtigieg to @ewarren.
"
1200546342134697984,2019-11-29 22:45:27,"@SatchelMose @ewarren I can't understand her point. She is claiming the rich are being subsidized by the broader ""we"", but the top 1% pay 37% of federal income taxes and the bottom 50% pay only 3%. What is she saying?
"
1200546331946889218,2019-11-29 22:45:25,"@ewarren “You didn’t build that” remix.  I hated it when Obama said it and it sounds even worse when being spewed by a pandering fraud, #FauxCahontas.
"
1200546329174388738,2019-11-29 22:45:24,"@RickMor29286292 @Deb4CongressNM @ewarren SO .. when did you get your vasectomy?  or you just pawning it off on the women irresponsibly like most males?
"
1200546315178000384,2019-11-29 22:45:21,"@BernieSanders Class:
Can the Receiver Categorize, or just say CRAZY? :)

@RepAdamSchiff
@SpeakerPelosi
@RepJerryNadler
@ewarren
@JoeBiden
@JohnKasich
@AOC
@BarackObama
@algore
@marwilliamson
@PeteButtigieg
@justinamash
@RepSwalwell
@amyklobuchar
@maddow
@AC360
@realDonaldTrump
@FOXNEWS
@APA
"
1200546277412540417,2019-11-29 22:45:12,"@AnnieGabstonH @ewarren Men have been in power for over 200 hundred years and just look at how they have managed to destroy this country-maybe 'GENDER VOTING' is what we need to straighten it back out.
"
1200546264984752128,2019-11-29 22:45:09,"@ewarren Trump 2020 
"
1200546246122860544,2019-11-29 22:45:04,"@TheStormIsNow1 @ewarren Why can't we do it if other countries are doing it? That's your argument.. Friggin stupid.
"
1200546245753933825,2019-11-29 22:45:04,"@harp1114 @ewarren i don’t even know what claim you are trying to make anymore... rich kids still have to pass classes to get a degree, and poorer students won’t have debt if tuition is free
"
1200546242964709376,2019-11-29 22:45:04,"@MikeRJohnson777 @Claudiaxdo @Rose52413 @HarleyDad731 @strom_annette @onyxandindigo1 @WeAarree @TimbosRoses1 @proud2bLib @HondoResists @Joanna_Resists @SuggTessie @SDDNP @PuffDomino @evheard @CursingParrot @ELGATOFLYS @raynadragon @clairermassey @MangerRaymond @xtraferocity @beachaholic823 @gr8fulchik @ThomsonSherin @ivyjofreeman @bamableu @LBSamuelsson @michelle_spenc @hwmnylx @Noorsara15 @ValH213 @oregon_resister @RosannaPhillip @BLUE_W0LVERINE @CynGal2 @usernewm @BalueCat @LA_Karma1 @QotMisfitTs @tracypac @suzy_swears @ShadowWelch @lizzy_bee2 @ThaddeusArjuna @sandy06906 @dindin6 @RacerxJax I'll take @ewarren over @BernieSanders or @JoeBiden , until the primary I want a Harris Warren ticket and the rest of these people given cabinet positions.  #Trunt has to go. Now, but really he should have never gotten in there. He brings out the worst in us all. #Resistance
"
1200546240108417024,2019-11-29 22:45:03,"@ewarren Excellent! No one is a self-made person.
"
1200546238917173249,2019-11-29 22:45:03,"@ewarren Night night Elizabeth. Time to pack it up.
"
1200546232093085696,2019-11-29 22:45:01,"This is the first video I ever saw of @ewarren, and I’ve been a fan ever since! 
"
1200121576978599938,2019-11-28 18:37:35,"@AnnieGabstonH @ewarren Of course. Because they are ‘the good guys’. 
"
1200121574491348992,2019-11-28 18:37:35,"@LinLee76822176 @HelenSpade4 @jwoodardcp @RealCandaceO @ewarren From my book, Outcast;
”According to the National Human Genome Research Institute, we are 99.9 percent of the same genetic makeup. Irrespective of color. Race in modern culture came about a few hundred years ago when some whites wanted blacks to think whites were superior.”
"
1200121531789008896,2019-11-28 18:37:25,"@ewarren I love this story! The most important thing is being together ️
"
1200121515540398080,2019-11-28 18:37:21,"@ewarren .....and “Runs With Wolf” brought the corn?
"
1200121477556776960,2019-11-28 18:37:12,"@fureygirl @dabrandolfski @ewarren They need White people to represent them? The white supremacy is strong in this one.
"
1200121446908989445,2019-11-28 18:37:04,"@socalmd54 @ewarren It leaked in transport but she’s holding up! 
"
1200121429427204097,2019-11-28 18:37:00,"@ewarren And to you Senator. Thank you for all that you do. #Warren2020
"
1200121427187269633,2019-11-28 18:37:00,"@ewarren That goes down in the ‘win’ column.
"
1200121422640750594,2019-11-28 18:36:58,"@MarieTitus9 @DAOBarry @ewarren @GOP i came here to say the same. it's not about ability or tax, it's about greed.
"
1200121417301254144,2019-11-28 18:36:57,"@ewarren Hilarious!  Happy Thanksgiving!
"
1200121396547866624,2019-11-28 18:36:52,"@ewarren Such a funny story! Raw turkey! I'll bet most families have a ""horror"" story similar to this. Can't wait to hear about Uncle Crowbar! What?
"
1200121375807152128,2019-11-28 18:36:47,"@Zackwheeler907 @gebrchav @ewarren ...can be removed, and that they may apply for asylum while physically present, it is at the very least undermining the law to remove them while processing the application, especially since much of that ""processing"" requires the seeker to be there to provide evidence.
"
1200121369121435650,2019-11-28 18:36:46,"@ewarren You’re not what you allude to here, but you’re not as bad as trump.
"
1200121340331577344,2019-11-28 18:36:39,"@ProudResister @ewarren @BernieSanders To waltch Bernie shooting hoop on Fallon the other night is to see a guy who still has stamina and vigor.  He is so passionate about ALL human well-being, rights and dignity. I just love Bernie! Warren is wonderful too.... uber intelligent and an energy level that wont quit!
"
1200121334795251712,2019-11-28 18:36:38,"@ewarren What's Cruel here is American College Grads who can't get Tech jobs because they hire ""Illegal Aliens"" CHEAPER! I know plenty of Americans who have had to trained these third-rate ""engineers"" and then lose their jobs to them. Where's the sympathy for OUR American students?
"
1200121319058268160,2019-11-28 18:36:34,"@ewarren We're a lot like Aunt Max. As in we don't take you seriously.
"
1200121299382591488,2019-11-28 18:36:29,"@fureygirl @crdec123 @ewarren I'm not going to vote for Warren. 
"
1200121282282569730,2019-11-28 18:36:25,"Happy Thanksgiving from #BaileysRunningMate ! Lucy is thankful for @ewarren and her plans for big structural change. 

.
.

#dogsforwarren #puppysforwarren #corgisforwarren #puppyhood 
 #merlecorgi #merlecorgipuppy 
"
1200121233133756418,2019-11-28 18:36:13,"@ewarren I didn't know that native Americans celebrate Thanksgiving.
"
1200121225701408768,2019-11-28 18:36:12,"@kkreitman @MontyBoa99 @ewarren @AOC Obama was POTUS when this happened.
"
1200121208760459265,2019-11-28 18:36:07,"@ewarren What. ? No indians?
"
1200121187939938304,2019-11-28 18:36:03,"@ewarren This society is so cruel. Think of the world we could live in if energy were directed to community and people building rather than otherness and harming others.
"
1200121185649881088,2019-11-28 18:36:02,"@ewarren lol I bet you left out all the “native american stuff” your family used to do in this tweet
"
1200121134471155720,2019-11-28 18:35:50,"@ewarren Elizabeth Warren. You will never be President. Imagine Putin being yelled at by some old lady with a weak voice. - Mr. Putin. Don't let your ball come into my yard or I will keep it. HAHAHAHAHAHAHA
"
1200121072575598592,2019-11-28 18:35:35,"@crdec123 @TheRealMarkCM @dabrandolfski @ewarren What are you talking about? Who has Scottish heritage?
"
1200121052417941505,2019-11-28 18:35:30,"@michaelmalice What side is @ewarren on for thanksgiving? Pilgrims or Indians? How about a survey.
"
1200121045421887488,2019-11-28 18:35:29,"@ewarren Obama was the architect of this program, began on his watch.
"
1200121040254443521,2019-11-28 18:35:27,"@dabrandolfski @crdec123 @fureygirl @ewarren 1. Her family told her she had NA ancestry. She believed them (like we all do with our families) and turns out, she does have some NA ancestry. 
2. She didn't use it for advancement at any point in her career. This has been thoroughly debunked. Stop spreading lies. 
3. She
"
1200121025196969986,2019-11-28 18:35:24,"@ewarren I sincerely hope that you become president one day. You are one of the few politicians I know of that I one hundred per cent agree with on ALL issues
"
1200121004896456705,2019-11-28 18:35:19,"@ewarren Where is your tepee ️!  I’m thankful that we caught all the lies you spew.
"
1200121002744786946,2019-11-28 18:35:18,"@Zackwheeler907 @gebrchav @ewarren The law actually has a clause for that: aliens can be removed to a country we have a treaty with to do so, but that country must be safe for the alien and must have a full and fair asylum process. Since the law very specifically states under which circumstances asylum seekers...
"
1200120977323106304,2019-11-28 18:35:12,"@DisastrouslyH @agfiji @ewarren It was first started in 2015 under the Obama administration
"
1200120951515447297,2019-11-28 18:35:06,"@crdec123 @dabrandolfski @ewarren That's what Natives need. White folks who ""represent"" them. Sorry, the nation already spoke out. If you don't like Warren don't vote for her.
"
1200120908817391617,2019-11-28 18:34:56,"@ewarren America owes them NOTHING.
Buh-bye!  #TRUMP2020
"
1200120880493408256,2019-11-28 18:34:49,"@KirtiPandey @ewarren Spoken like a true eternal learner
"
1200120854954303488,2019-11-28 18:34:43,"@ewarren NO THANK YOU - YOU ARE A POC DEM LIBERAL FOKAHONTAS.
"
1200120846272122881,2019-11-28 18:34:41,"@TheRealMarkCM @fureygirl @dabrandolfski @ewarren She can't identity as a Native American when she's clearly of primary European descent, plain and simple.
"
1200120844652961792,2019-11-28 18:34:41,"@LauraFKeller @ewarren Oooo, post after bake pics!
"
1200120796288552961,2019-11-28 18:34:29,"@ewarren YOU WANT TO SAY TRUMP FAULT AGAIN?EVERY GOOD THINGS IS DOES BY DEMOCRATS AND BAD ARE TRUMP WOW SICK PEOPLE...YOU CROP OUT SOME REAL STORIES..ICE DETAINED THEM BECAUSE IT WAS FAKE UNIVERSITY RUNNING BY SOME ILLIGAL PEOPLE
"
1200120763002564608,2019-11-28 18:34:21,"@ewarren Do not people see anything wrong with stuffing themselves with oversized chicken while celebrating diseases, racism, oppression and the genocide of millions of native people, the theft of native lands and the relentless assault on native culture?
"
1200120752126746625,2019-11-28 18:34:19,"@ewarren no sympathy for any illegal getting deported, no matter when...immigrants who come here legally, and contribute will earn dignity, come here illegally, and sponge off the tax payer and you do not deserve dignity
"
1200120721374101507,2019-11-28 18:34:11,"@ewarren Was it sad when Obama did it or nah?
"
