id_str,created_at,full_text
1200141368619868161,2019-11-28 19:56:14,"It’s Thanksgiving, @JoeBiden and @BarackObama are on Nantucket. 

Where’s @realDonaldTrump?

In a war zone with @FLOTUS and our troops. 

    God Bless the First Family 
"
1199910665680543745,2019-11-28 04:39:30,"Such BullS**t! ⁦@RudyGiuliani⁩ was President ⁦@realDonaldTrump’s attorney and was obligated to investigate where ever it took him, including⁩ the Ukraine. The #MSM is just pissed at what he found. ⁦@JoeBiden⁩ #BriberyAndExtortion  
"
1200449458741424130,2019-11-29 16:20:28,"Wow, the fliers for @JoeBiden's upcoming Iowa bus tour are surprisingly honest! 
"
1200542469407903744,2019-11-29 22:30:04,"@Alyssa_Milano 

So in your world, better this woman be dead than able to protect herself.

And @JoeBiden putting his hands on the breasts of young girls is molestation not misunderstood.  
"
1200542451976589312,2019-11-29 22:30:00,"@JoeBiden @QuancyClayborne Joe, if this is really true, you should really quit clinging to your tired and outdated view about not legalizing pot. It's a holdover of preserving the prohibition era enforcement empire of the 1930's, and it costs taxpayers to operate. It was wrong then, it's wrong now.
"
1200542429855633409,2019-11-29 22:29:54,"@JoeBiden So, your crime bill puts them in jail and if they get out you'll help them? Maybe help before you mass incarcerated them?
Do you think the internet doesnt exist?
We call look up your horrid record.
"
1200542400256659457,2019-11-29 22:29:47,"@JoeBiden What about, Joe Biden’s, “Can I get a hug?” Tour.
"
1200542394590072832,2019-11-29 22:29:46,"@JoeBiden You don't Care about anything but how much MONEY you can make or steal!
"
1200542322263506945,2019-11-29 22:29:29,"@JoeBiden Vote for me! I will be fair to owners, executives, management, and our talented workforce, and keep our thriving economy going.  You will have a bright future with Biden!
"
1200542227090546700,2019-11-29 22:29:06,"@JoeBiden Ya can't be president while serving a sentence...
"
1200542198552547331,2019-11-29 22:28:59,"@JoeBiden Where's Hunter and Epstein didn't kill himself.
"
1200542194903351296,2019-11-29 22:28:58,"@MoveOn @SenMcSallyAZ If 56% of Americans believe @POTUS should be Impeached w/o evidence of a completed Quid pro Quo (the basis for Bribery) then 76% must believe @JoeBiden should be INDICTED for his completed Bribery!  #Trump2020Landslide #KAG2020 #8MoreYears
"
1200542188498755584,2019-11-29 22:28:57,"@ChrisPawelski @sabinenamba @JoeBiden Nothing will change until we elect someone who has NEVER bent over for Wall Street like Trump, Obama, Clinton, Bush, and everyone running but Bernie (excluding Yang & Trulsi)
"
1200542177551515648,2019-11-29 22:28:54,"@JoeBiden Hard to do that Joe when your incarcerated!  You and your buddy Obama can comfort each other!
"
1200542171398647813,2019-11-29 22:28:53,"@YourDailyHam @JoeBiden More like ""OK Quiet Generation""
"
1199910661297491968,2019-11-28 04:39:29,"@JoeBiden Stuck your foot in it good this time, JJ.  You are so right, you are everything this President is NOT:

Corrupt
On the take
And things I won't even mention in polite society
"
1199910640854409216,2019-11-28 04:39:24,"@JoeBiden Lolol joe is a whore
"
1199910607694311424,2019-11-28 04:39:16,"@richard_lordi @JoeBiden Charming.
"
1199910576706772994,2019-11-28 04:39:09,"@JoeBiden Republicans OWN DIVERSITY
"
1199910560537726976,2019-11-28 04:39:05,"@OANN @HowleyReporter @RachelAcenas Democrat elite children running amuck!  #Ukraine @SpeakerPelosi @JoeBiden
"
1199910555890401281,2019-11-28 04:39:04,"@glieser @JoeBiden We need to ruin the economy of the United States to show the 3rd. World shit hole country's were in charge of the climate change bullshit scam.
"
1199910534528798720,2019-11-28 04:38:59,"That Hunter Biden sure is a stand up guy...frequenting strip clubs, impregnating strippers, smoking crack...selling access to his daddy @JoeBiden and the White House to Ukraine and China... 
"
1199910494892519424,2019-11-28 04:38:49,"Dear @JoeBiden and @JulianCastro, your names are notably missing from this answer in the affirmative. 

@acog @AmerMedicalAssn and every other group that has studied this agrees there's no medical reason to require an Rx for #birthcontrol pill. Where do you stand? #Election2020 
"
1199910472713220096,2019-11-28 04:38:44,"@JoeBiden What about the homeless children that the dems have, are and will leave behind?
"
1199910444049154053,2019-11-28 04:38:37,"@JoeBiden We definitely can’t have you as a president!
"
1199910388634025984,2019-11-28 04:38:24,"@LindseyGrahamSC What’s sad is you supporting a  president that extorted a foreign leader for political gains - fired an ambassador because she was an obstacle standing in the way of an extortion plot and undermined our nations foreign policy - over your friend @JoeBiden 

"
1199910384443936768,2019-11-28 04:38:23,"@ChrisDJackson @surveyusa @JoeBiden Biden might well win the primary, but he can’t win a general. Have fun!
"
1199910366496595968,2019-11-28 04:38:19,"@JoeBiden Democrats
"
1199910363606798336,2019-11-28 04:38:18,"NY Post Report: While Working For Burisma, Hunter Biden Suspected of Smoking Crack in D.C. Strip Clubs ⁦@maggieNYT⁩ real news Maggie. Sex, sex toys, drugs & Ukraine $$$! And ⁦@JoeBiden⁩ swinging at the air. Trying to hit something?  
"
1199910363069743106,2019-11-28 04:38:18,"@froZenwaterflak @tshirtwoman19 @HonesTyus @Boweetles @nypost @JoeBiden @realDonaldTrump @WinterbleShow @760KFMBProducer @newsmax @KUSINews @marklarsonradio @760kfmb @FoxNews @RepAdamSchiff @SpeakerPelosi @SenSchumer @BarackObama @HillaryClinton 
Yeah right... 
"
1199910270690353158,2019-11-28 04:37:56,"@toddkmyers @l_ylvisaker @BrandonJCarroll @ArcticFlier77 @4FUKSAKE_ @JoeBiden @SharylAttkisson @realDonaldTrump I say its all important.
"
1199910270241558528,2019-11-28 04:37:56,"OMG these people & their love affair with @BarackObama 
HE DIDNT DO SHIT for the 99% period end of story! 
Why? A Billion in Wall Street stink $ he took with @JoeBiden (the early stage dementia victim) 
#TrustOnlyBernie
"
1199910254550515712,2019-11-28 04:37:52,"@SnarkyBetoChick @JoeBiden @BetoORourke @dailydot I know, someone retweeted it and I seen people liking it, I have no idea why someone would go that far back in my tweets to find it, lmao
"
1199910246543699968,2019-11-28 04:37:50,"@JoeBiden Abortion is an act of despair and advocates of it - like yourself - aren’t hopeful.
"
1199910211437219840,2019-11-28 04:37:42,"@JoeBiden shut up dad of a drug addict! WE DONT WANT YOU!
"
1199910182106664961,2019-11-28 04:37:35,"@charliekirk11 #Trump2020 @realDonaldTrump

Really! @SpeakerPelosi @SenSchumer @RepMaxineWaters @JoeBiden @washingtonpost @ABC @NBCNews @CBSNews
"
1199910165002301440,2019-11-28 04:37:31,"@JoeBiden @ofpeopl They're attacking you son Hunter to hurt you. You need to take off the gloves and fight. If it was my son I would be defending him.
"
1199910155820961793,2019-11-28 04:37:29,"@ZyroFoxtrot @One_US_Citizen Sleazy Joe Biden @JoeBiden and his son Hunter #HunterBiden both really upstanding people hey 
#Corruption #Crowdstrike #QuidProJoe
"
1199910136489414657,2019-11-28 04:37:24,"@billyshakes1561 @AdamSerwer @chrislhayes @BarackObama @justinamash @RepAdamSchiff @DavidJollyFL @JoeNBC @JoeBiden @gtconway3d @BillKristol @SpeakerPelosi @robreiner @JRubinBlogger Wanted his own “Putie Nudie” but couldn’t fit it all.
"
1199910134522302464,2019-11-28 04:37:23,"@JoeBiden Hey Joe, tell Hunter to put the crack pipe down and stop banging his sister in law plz
"
1199910119963709441,2019-11-28 04:37:20,"@JoeBiden President Trump gives the people the choice. We define who we are as a nation.
"
1199910044957052928,2019-11-28 04:37:02,"@nypost lol, @JoeBiden is against decriminalization of marijuana. Because it may be a gateway drug. 
Is he talking from experience with his own son?
"
1199910023297564672,2019-11-28 04:36:57,"@CalabreseBobby @ForLimitedGov @JoeBiden You got them all,lol.
"
1199909963369500672,2019-11-28 04:36:43,"@JoeBiden How’s that grand baby doing?
"
1199909890971455489,2019-11-28 04:36:25,"@JoeBiden Ok boomer
"
1199909772172177408,2019-11-28 04:35:57,"@JoeBiden Why does our President get away will calling our State Of The Union stupid?  He has never served! This is treasonous on the language
"
1199909633151897603,2019-11-28 04:35:24,"@RomanState36 @valassis @JoeBiden - #Bumper needs $$$$ 
"
1199909598800551936,2019-11-28 04:35:16,"@JoeBiden Joe, your day had come and gone. Your son has killed your campaign.
"
1199909580739956736,2019-11-28 04:35:11,"@JoeBiden President Trump & his supporters want & welcome people of all races to enter our country LEGALLY.  Demanding that all people follow our citizenship process equally shows no bias or racism. It reflects a respect for our country, our constitution & the rule of law.
"
1199909568211369985,2019-11-28 04:35:08,"@I_Am_LisaR @JoeBiden @BetoORourke @dailydot That's so weird!  It showed up in my timeline! 
"
1199909481741799424,2019-11-28 04:34:48,"@JoeBiden Especially in the face of his recent cowardly int'l capitulations to Erdogan, Kim and Putin, Trump cutting US's contribution to NATO gives the wrong signal: That the world's despots can walk all over USA, without fear. #TreasonerInChief 
"
1199909348568379392,2019-11-28 04:34:16,"@JoeBiden After President Trump exposed this Ukraine corruption by Joe Biden and Nancy Pelosi.  Nasty Nancy Pelosi started the impeachment inquiry with the LIES concerning President Trump telephone call with Ukraine.
"
1199909334580228096,2019-11-28 04:34:13,"@theslothsays222 @JoeBiden And considering his history of donating almost nothing to charity you might be on to something
"
1199909262635520001,2019-11-28 04:33:56,"@JoeBiden That’s it ? 
Attacking the person of Trump & calling him a hateful racist is your strategy for winning 2020 ?
Unless you challenge the policies of Trump and tell how your going to make us a strong prosperous country, you nor any of the fools for candidates will never beat Trump!
"
1199909243563864064,2019-11-28 04:33:51,"@Nathanhack80 @WendyMeer11 I don’t think @joebiden would pardon her
"
1199909224253407233,2019-11-28 04:33:46,"@CGasparino @JoeBiden @realDonaldTrump No chance Charles. The dems could spend ten billion, bring out all the singers & movie stars they could muster up, and still wouldn’t have a chance at beating @realDonaldTrump.  The good lord striking him down is the only way he loses reelection.
"
1199909172244033536,2019-11-28 04:33:34,"@JoeBiden Joe & Hunter Biden & Paul Pelosi proven to voter Democrat corruption is on a global scale.Joe Biden and Nancy Pelosi involved their adult children in international corruption used tax dollars to facilitate their corruption. Gave Ukraine billions and received millions in kickbacks.
"
1199909002546700290,2019-11-28 04:32:54,"@ChloeSalsameda Oh no more hypocrisy from the posturing self righteous left. Go figure. @JoeBiden another. @SenWarren another. @KamalaHarris another! @BernieSanders and another! @PeteButtigieg and another. This is like @ArianaGrande ‘s thank you next song. Only it’s about fraudulent hypocrites.
"
1199908966832201728,2019-11-28 04:32:45,"@JoeBiden Take a break, Joe. Trump has that covered to.
"
1199908915535908864,2019-11-28 04:32:33,"@ed38501 @JoeBiden He is.
"
1199908904370610177,2019-11-28 04:32:30,"@feyi50 @JoeBiden Joe Biden’s GREATEST adversary IS Joe Biden.
"
