id_str,created_at,full_text
1200287500419375105,2019-11-29 05:36:55,"Here is another reason why  has a good chance of winning - if you ask Americans, name one politician who is honest, does anyone think thatwould not win a landslide? #NotMeUs
"
1200485829111513088,2019-11-29 18:45:00,"These Dem Sens. r running against #Trump in #2020Elections: 

- @ewarren 
- @KamalaHarris 
- @MichaelBennet 
- @amyklobuchar 
- @CoryBooker 
-  

Should these Sens. recuse themselves from sitting as a juror at Senate #Impeachment Trial?


"
1200208948852187136,2019-11-29 00:24:46,"Corporate Democrats are fond of saying ""I am a progressive who gets things done."" Those familiar with candidates' records, however, will note that the presidential candidate this phrase actually applies to is . 
"
1200538604755443713,2019-11-29 22:14:42," How can that be ?  that is  thieving you would think.
"
1200538573516218369,2019-11-29 22:14:35," Biden is a Corp bribed gateway political puppet for the racist, bigoted, jingoistic & environmental destroying wealthy kleptocrats as they continue with their political & economic terrorism of the American People. Back  for a new path.
"
1200538552007888896,2019-11-29 22:14:30,"@JonathanConley1 @27Bolts  He spoke facts and did not reference Trump, simmer down blind hater.
"
1200538550640492544,2019-11-29 22:14:30,"@EvFloris @BSchnitzDude  And who is going to pay for these free colleges? Tax money ftom hard working Americans!
"
1200538506696613888,2019-11-29 22:14:19,"@WordsHannah  America will NEVER be a socialist country
"
1200538478255194114,2019-11-29 22:14:12,"@YangYouToo  Where will we reduce spending?
"
1200538461716901888,2019-11-29 22:14:08,"@AM_ProHuman @cards_fan75 @AOC  This. And, it is a fucking primary.
"
1200208804576714752,2019-11-29 00:24:12,"@84_morpheus  You do not have to opt-in. I do not consider providing for the general welfare a waste. I consider it part of the social contract.
"
1200208803255529473,2019-11-29 00:24:12," @VaushV Ok Boomer
"
1200208663362838529,2019-11-29 00:23:38,"@YangYouToo  Capitalism will starve itself dry. It is more idealist.
"
1200208658514292736,2019-11-29 00:23:37,"@YangYouToo  The single mothers who the government gives a basic income to has shown what a leisure society without work creates, fatherlessness, violence and drug abuse.
"
1200208536782999552,2019-11-29 00:23:08,"@sallegaert25  I am super thankful for your friendship and excited to have you on the campaign!
"
1200208532571856899,2019-11-29 00:23:07,"@antForthrom  I am all for lofty idealism, but I also have mouths to feed and bills to pay.
"
1200208425562583040,2019-11-29 00:22:42," @SharylAttkisson Didnt know they had photos then 
"
1200208372580044801,2019-11-29 00:22:29," Donald Trump be like countless Americans living within my walls with no papers waiting to be deported                                            jk jk
"
1200208306326900736,2019-11-29 00:22:13," You got two fcking billionaires wadting their money  on dome stupid campaign they cant win and most of the others are millionaires! Stop wasting money on ad and help them! Libs are idiots!
"
1200208265860276226,2019-11-29 00:22:04,"@YangYouToo  So waste money giving money to rich people as well? Universal programs are problematic because they do not take into account that not all individuals are dependent on the government.
"
1200208261598846976,2019-11-29 00:22:03," Good causes to fight for Bernie. Battle on. 
"
1200208143256621057,2019-11-29 00:21:34,"@ethannichtern @ewarren  They are not cowardly, they just refuse to admit that they have a systematic advantage.
"
1200208117574897666,2019-11-29 00:21:28,"@SimonNarode  @PeteButtigieg It is not just that he tore them down. It is that they were not replaced with affordable housing. He tries to justify it on the basis they were not salvageable, and that money was provided to fix up those that were, but it ignores that he could have helped the community and did not.
"
1200208085869940736,2019-11-29 00:21:21,"@People4Bernie  You could not even win the Presidency of your bridge club at the old folks home.
"
1200208033617522688,2019-11-29 00:21:08,"@ethannichtern @ewarren  They know it works, that is why they are fighting it. They want to keep their power, they do not want a more equitable world.
"
1200208018190872576,2019-11-29 00:21:04,"@84_morpheus @BadwordsXD  A monetary sovereign government does not use taxes to fund spending. Taxes drive and destroy money in the private economy. Yang is clawback primarily targets cost externalities.
"
1200207980924411904,2019-11-29 00:20:56,"@LilRodneyDanger  You are fuuuuuuckin pathetic you do not even have a profile photo it is a daaaaaamn dog GTFO 
"
1200207827836362752,2019-11-29 00:20:19,"@Illasist @imchrismcneil  
You mean polls like this?

Because that is nothing new bro. But look CLOSER...devil is in the details. *Only 31%* supportis solution. ""M4A""

UBI got passed a Republican legislature.

Your view here is literally the flip of realiity
"
1200207806743363584,2019-11-29 00:20:14,"@CuriousityT @HauberkVoss  You are job shaming though. Any job is a ""real job"" these days. Saying otherwise makes you seem backwards.
"
1200207694390419462,2019-11-29 00:19:47," You can let them live in the two houses you are not using right now!?
"
1200207681530867712,2019-11-29 00:19:44,"@debra_iorio @davidsirota  It is literally fascinating what they care about.
"
1200207659531735040,2019-11-29 00:19:39,"@ProfHWalsh @sabine_durden @KamVTV  It is ok. I am used to the peace and love of the rabid leftists. Rabies shot up to date?
"
1200207595165900800,2019-11-29 00:19:24," What did you do for the homeless today Bernie?
"
1200207439393460224,2019-11-29 00:18:46,"@_itsneel_  @DevLyse Lol. Tulsi is my first choice butis the front runner and might end up winning xD
"
1200207296904736768,2019-11-29 00:18:13,"@84_morpheus  Well, this goes to everyone regardless of need, and we need to develop a leisure society.
"
1200207241204420610,2019-11-29 00:17:59,"The legacy of white supremecy will continue to run rampant until we have leaders who stand against it.  is one of those leaders. I support removal of all Confederate statues and flags.
"
1200207237966450689,2019-11-29 00:17:58,"@EclecticRadical  The whole world
"
1200207226985684992,2019-11-29 00:17:56," 63 Million to be exact. 

The TRADITIONAL actions that our Forefathers were
RESOLUTE in teaching us by UNIFYING the colonies into a MOVEMENT that has forever changed the landscape of the world is seen in the PRINCIPLE of humanity shown in the leaders we ourselves support today. 
"
1200207135285678080,2019-11-29 00:17:34,"@sharonlov5 @caviartheory @senate4cjreform  As much as I am no fan of POTUS 45, not really his fault on that one
"
1200207017203445761,2019-11-29 00:17:06,"@sharonlov5 @caviartheory @senate4cjreform  Trumps prison reforms could not touch the state level (they could have created financial incentives for states, but that would have made it unpassable)...POTUS have some influence but can not reform states
"
