id_str,created_at,full_text
1200485829111513088,2019-11-29 18:45:00,"These Dem Sens. r running against #Trump in #2020Elections: 

-  
- @KamalaHarris 
- @MichaelBennet 
- @amyklobuchar 
- @CoryBooker 
- @BernieSanders 

Should these Sens. recuse themselves from sitting as a juror at Senate #Impeachment Trial?


"
1200121584142487552,2019-11-28 18:37:37,". is granddaughter, Lavinia, gives great pep talks.

We hope your Thanksgiving is filled with friends, family, chosen family, and loved ones who inspire you to keep fighting. 
"
1200406059933949952,2019-11-29 13:28:01,"Democrats doing the ""attack the leftist policies"" thing should be aware that they are providing bipartisan legitimacy to these talking points. Long history of this. @realDonaldTrump will use the attacks against whoever the nominee is, from @JoeBiden or @PeteButtigieg to .
"
1200546342134697984,2019-11-29 22:45:27,"@SatchelMose  I can not understand her point. She is claiming the rich are being subsidized by the broader ""we"", but the top 1% pay 37% of federal income taxes and the bottom 50% pay only 3%. What is she saying?
"
1200546331946889218,2019-11-29 22:45:25," ""You did not build that"" remix.  I hated it when Obama said it and it sounds even worse when being spewed by a pandering fraud, #FauxCahontas.
"
1200546329174388738,2019-11-29 22:45:24,"@RickMor29286292 @Deb4CongressNM  SO .. when did you get your vasectomy?  or you just pawning it off on the women irresponsibly like most males?
"
1200546315178000384,2019-11-29 22:45:21,"@BernieSanders Class:
Can the Receiver Categorize, or just say CRAZY? :)

@RepAdamSchiff
@SpeakerPelosi
@RepJerryNadler

@JoeBiden
@JohnKasich
@AOC
@BarackObama
@algore
@marwilliamson
@PeteButtigieg
@justinamash
@RepSwalwell
@amyklobuchar
@maddow
@AC360
@realDonaldTrump
@FOXNEWS
@APA
"
1200546277412540417,2019-11-29 22:45:12,"@AnnieGabstonH  Men have been in power for over 200 hundred years and just look at how they have managed to destroy this country-maybe 'GENDER VOTING' is what we need to straighten it back out.
"
1200546264984752128,2019-11-29 22:45:09," Trump 2020 
"
1200546246122860544,2019-11-29 22:45:04,"@TheStormIsNow1  Why can not we do it if other countries are doing it? That is your argument.. Friggin stupid.
"
1200546245753933825,2019-11-29 22:45:04,"@harp1114  i do not even know what claim you are trying to make anymore... rich kids still have to pass classes to get a degree, and poorer students will not have debt if tuition is free
"
1200546240108417024,2019-11-29 22:45:03," Excellent! No one is a self-made person.
"
1200546238917173249,2019-11-29 22:45:03," Night night Elizabeth. Time to pack it up.
"
1200546232093085696,2019-11-29 22:45:01,"This is the first video I ever saw of , and I have been a fan ever since! 
"
1200121576978599938,2019-11-28 18:37:35,"@AnnieGabstonH  Of course. Because they are ‘the good guys'. 
"
1200121531789008896,2019-11-28 18:37:25," I love this story! The most important thing is being together ️
"
1200121515540398080,2019-11-28 18:37:21," .....and ""Runs With Wolf"" brought the corn???
"
1200121477556776960,2019-11-28 18:37:12,"@fureygirl @dabrandolfski  They need White people to represent them??? The white supremacy is strong in this one.
"
1200121446908989445,2019-11-28 18:37:04,"@socalmd54  It leaked in transport but she is holding up! 
"
1200121429427204097,2019-11-28 18:37:00," And to you Senator. Thank you for all that you do. 
"
1200121427187269633,2019-11-28 18:37:00," That goes down in the ‘win' column.
"
1200121422640750594,2019-11-28 18:36:58,"@MarieTitus9 @DAOBarry  @GOP i came here to say the same. it is not about ability or tax, it is about greed.
"
1200121417301254144,2019-11-28 18:36:57," Hilarious!  Happy Thanksgiving!
"
1200121396547866624,2019-11-28 18:36:52," Such a funny story!!! Raw turkey! I will bet most families have a ""horror"" story similar to this. can not wait to hear about Uncle Crowbar!!!!!! What?
"
