id_str,created_at,full_text
1200141368619868161,2019-11-28 19:56:14,"It is Thanksgiving,  and @BarackObama are on Nantucket. 

Where is @realDonaldTrump?

In a war zone with @FLOTUS and our troops. 

    God Bless the First Family 
"
1199910665680543745,2019-11-28 04:39:30,"Such BullS**t! ⁦@RudyGiuliani⁩ was President ⁦@realDonaldTrump is attorney and was obligated to investigate where ever it took him, including⁩ the Ukraine. The #MSM is just pissed at what he found. ⁦⁩ #BriberyAndExtortion  
"
1200449458741424130,2019-11-29 16:20:28,"Wow, the fliers for  is upcoming Iowa bus tour are surprisingly honest! 
"
1200542469407903744,2019-11-29 22:30:04,"@Alyssa_Milano 

So in your world, better this woman be dead than able to protect herself.

And  putting his hands on the breasts of young girls is molestation not misunderstood.  
"
1200542451976589312,2019-11-29 22:30:00," @QuancyClayborne Joe, if this is really true, you should really quit clinging to your tired and outdated view about not legalizing pot. It is a holdover of preserving the prohibition era enforcement empire of the 1930 is, and it costs taxpayers to operate. It was wrong then, it is wrong now.
"
1200542429855633409,2019-11-29 22:29:54," So, your crime bill puts them in jail and if they get out you will help them? Maybe help before you mass incarcerated them?
Do you think the internet doesnt exist?
We call look up your horrid record.
"
1200542400256659457,2019-11-29 22:29:47," What about, Joeis, ""Can I get a hug?"" Tour.
"
1200542394590072832,2019-11-29 22:29:46," You do not Care about anything but how much MONEY you can make or steal!!
"
1200542322263506945,2019-11-29 22:29:29," Vote for me! I will be fair to owners, executives, management, and our talented workforce, and keep our thriving economy going.  You will have a bright future with Biden!
"
1200542227090546700,2019-11-29 22:29:06," Ya can not be president while serving a sentence...
"
1200542198552547331,2019-11-29 22:28:59," Where is Hunter and Epstein did not kill himself.
"
1200542194903351296,2019-11-29 22:28:58,"@MoveOn @SenMcSallyAZ If 56% of Americans believe @POTUS should be Impeached w/o evidence of a completed Quid pro Quo (the basis for Bribery) then 76% must believe  should be INDICTED for his completed Bribery!  #Trump2020Landslide #KAG2020 #8MoreYears
"
1200542188498755584,2019-11-29 22:28:57,"@ChrisPawelski @sabinenamba  Nothing will change until we elect someone who has NEVER bent over for Wall Street like Trump, Obama, Clinton, Bush, and everyone running but Bernie (excluding Yang & Trulsi)
"
1200542177551515648,2019-11-29 22:28:54," Hard to do thatwhen your incarcerated!  You and your buddy Obama can comfort each other!
"
1200542171398647813,2019-11-29 22:28:53,"@YourDailyHam  More like ""OK Quiet Generation""
"
1199910661297491968,2019-11-28 04:39:29," Stuck your foot in it good this time, JJ.  You are so right, you are everything this President is NOT:

Corrupt
On the take
And things I will not even mention in polite society
"
1199910640854409216,2019-11-28 04:39:24," Lololis a whore
"
1199910607694311424,2019-11-28 04:39:16,"@richard_lordi  Charming.
"
1199910576706772994,2019-11-28 04:39:09," Republicans OWN DIVERSITY
"
1199910555890401281,2019-11-28 04:39:04,"@glieser  We need to ruin the economy of the United States to show the 3rd. World shit hole country is were in charge of the climate change bullshit scam.
"
1199910534528798720,2019-11-28 04:38:59,"That Huntersure is a stand up guy...frequenting strip clubs, impregnating strippers, smoking crack...selling access to his daddy  and the White House to Ukraine and China... 
"
1199910494892519424,2019-11-28 04:38:49,"Dear  and @JulianCastro, your names are notably missing from this answer in the affirmative. 

@acog @AmerMedicalAssn and every other group that has studied this agrees there is no medical reason to require an Rx for #birthcontrol pill. Where do you stand? #Election2020 
"
1199910472713220096,2019-11-28 04:38:44," What about the homeless children that the dems have, are and will leave behind?
"
1199910444049154053,2019-11-28 04:38:37," We definitely can not have you as a president!
"
1199910388634025984,2019-11-28 04:38:24,"@LindseyGrahamSC What is sad is you supporting a  president that extorted a foreign leader for political gains - fired an ambassador because she was an obstacle standing in the way of an extortion plot and undermined our nations foreign policy - over your friend  

"
